Angle_of_Attack,Cut_Angle,Opening_Percent,Status,CL,CD,L_over_D
-20.0,90.0,0.0,FAIL,-1.2003451585769653,0.6486976146697998,-1.8503924346753846
-18.0,90.0,0.0,FAIL,-1.2221646308898926,0.5558589696884155,-2.198695528067078
-16.0,90.0,0.0,FAIL,-0.9780241250991821,0.42845824360847473,-2.2826591381747363
-14.0,90.0,0.0,FAIL,-0.9988102912902832,0.31535643339157104,-3.16724247718163
-12.0,90.0,0.0,FAIL,-0.7597548365592957,0.28013837337493896,-2.712069851074758
-10.0,90.0,0.0,PASS,-0.7139748334884644,0.292734295129776,-2.4389859519942565
-8.0,90.0,0.0,PASS,-0.7309655547142029,0.21280601620674133,-3.434891398954007
-6.0,90.0,0.0,PASS,-0.7841032147407532,0.16496330499649048,-4.753197777878144
-4.0,90.0,0.0,PASS,-0.6048862338066101,0.1260538101196289,-4.798635068884904
-2.0,90.0,0.0,PASS,0.12431503087282181,0.1092948317527771,1.1374282651719536
0.0,90.0,0.0,PASS,-0.3553100824356079,0.111407071352005,-3.189295599674817
2.0,90.0,0.0,PASS,0.08415065705776215,0.10809418559074402,0.7784938347781758
4.0,90.0,0.0,PASS,0.7732870578765869,0.12723566591739655,6.0775966573603455
6.0,90.0,0.0,PASS,0.779515266418457,0.16079644858837128,4.847838825184297
8.0,90.0,0.0,PASS,0.9610235691070557,0.18895436823368073,5.086008744283453
10.0,90.0,0.0,PASS,0.8869528770446777,0.2836986184120178,3.126391245785162
12.0,90.0,0.0,PASS,0.9210916757583618,0.28105416893959045,3.277274552566201
14.0,90.0,0.0,PASS,0.934821605682373,0.331538587808609,2.819646460646771
16.0,90.0,0.0,PASS,1.140986680984497,0.46910130977630615,2.4322820192691075
18.0,90.0,0.0,FAIL,1.158394455909729,0.5968573093414307,1.9408231042489796
20.0,90.0,0.0,FAIL,1.1879733800888062,0.7483896613121033,1.587372783859693
-20.0,90.0,1.0,FAIL,-1.2446043491363525,0.7280677556991577,-1.7094622573158302
-18.0,90.0,1.0,FAIL,-1.1140615940093994,0.4942868947982788,-2.2538764546125667
-16.0,90.0,1.0,FAIL,-0.4625685214996338,0.3932375907897949,-1.1763079937769727
-14.0,90.0,1.0,FAIL,-0.9424307942390442,0.40764594078063965,-2.311885633975147
-12.0,90.0,1.0,FAIL,-0.9381164908409119,0.2965509593486786,-3.163424232048744
-10.0,90.0,1.0,FAIL,-0.809345006942749,0.22380642592906952,-3.6162724264193065
-8.0,90.0,1.0,PASS,-0.6608189344406128,0.22505955398082733,-2.936195876834038
-6.0,90.0,1.0,PASS,-0.5355955958366394,0.15603631734848022,-3.432506002051298
-4.0,90.0,1.0,PASS,-0.15133339166641235,0.11689623445272446,-1.294595949774713
-2.0,90.0,1.0,PASS,-0.34605997800827026,0.12145885080099106,-2.8491952272402576
0.0,90.0,1.0,PASS,-0.2287406623363495,0.11144524067640305,-2.0524937713628364
2.0,90.0,1.0,PASS,0.36562883853912354,0.12562622129917145,2.9104500219615774
4.0,90.0,1.0,PASS,-0.31411901116371155,0.10949311405420303,-2.868847177076463
6.0,90.0,1.0,PASS,0.5255486369132996,0.1636926680803299,3.210581408908271
8.0,90.0,1.0,PASS,0.6023810505867004,0.18898500502109528,3.1874542137322495
10.0,90.0,1.0,PASS,0.3282715380191803,0.23567892611026764,1.3928760769454251
12.0,90.0,1.0,PASS,0.5325698852539062,0.2426563799381256,2.1947491567693582
14.0,90.0,1.0,PASS,1.0229657888412476,0.3843623399734497,2.6614620696499824
16.0,90.0,1.0,FAIL,1.2526369094848633,0.4976142644882202,2.517284971268175
18.0,90.0,1.0,FAIL,1.3044825792312622,0.6547491550445557,1.9923394618852042
20.0,90.0,1.0,FAIL,1.3730051517486572,0.6795817613601685,2.0203678642002054
-20.0,90.0,2.5,FAIL,-1.6147135496139526,0.8523508906364441,-1.8944234907858875
-18.0,90.0,2.5,FAIL,-1.1838043928146362,0.6804128885269165,-1.7398324058463306
-16.0,90.0,2.5,FAIL,-1.1672428846359253,0.6099011898040771,-1.9138229341885478
-14.0,90.0,2.5,FAIL,-0.8281798958778381,0.4505075216293335,-1.8383264565319382
-12.0,90.0,2.5,PASS,-0.8565065264701843,0.3575552999973297,-2.3954519104501624
-10.0,90.0,2.5,PASS,-0.6191884279251099,0.28423598408699036,-2.178430820130105
-8.0,90.0,2.5,PASS,-0.536403238773346,0.1822960525751114,-2.9424841141435683
-6.0,90.0,2.5,PASS,-0.4009507894515991,0.15649504959583282,-2.5620669183281035
-4.0,90.0,2.5,PASS,-0.867541491985321,0.1783183068037033,-4.865128586827205
-2.0,90.0,2.5,PASS,-0.5428184866905212,0.14711475372314453,-3.6897623994399105
0.0,90.0,2.5,PASS,-0.21932432055473328,0.12040648609399796,-1.8215324412300593
2.0,90.0,2.5,PASS,0.4309327006340027,0.1364179402589798,3.1589151677257954
4.0,90.0,2.5,PASS,0.5243082642555237,0.16708120703697205,3.1380445087370226
6.0,90.0,2.5,PASS,0.5477670431137085,0.16005539894104004,3.4223590502903978
8.0,90.0,2.5,PASS,0.5673731565475464,0.1946607381105423,2.9146768991770253
10.0,90.0,2.5,PASS,0.6884363889694214,0.2836861312389374,2.42675377172238
12.0,90.0,2.5,PASS,0.7152146100997925,0.35730206966400146,2.001708556494967
14.0,90.0,2.5,FAIL,0.9886816143989563,0.38722458481788635,2.5532511445881934
16.0,90.0,2.5,PASS,0.9600976705551147,0.5493196249008179,1.7477942295042976
18.0,90.0,2.5,FAIL,0.9236541390419006,0.7016347646713257,1.3164315475083077
20.0,90.0,2.5,FAIL,1.192673683166504,0.6714756488800049,1.7761979680958453
-20.0,90.0,5.0,FAIL,-1.315480351448059,0.751143753528595,-1.7513030565300183
-18.0,90.0,5.0,PASS,-0.8156636953353882,0.57731032371521,-1.412868715193389
-16.0,90.0,5.0,PASS,-1.1563290357589722,0.5689250230789185,-2.0324805358377986
-14.0,90.0,5.0,PASS,-0.9518606662750244,0.4867347180843353,-1.9556046259065043
