Angle_of_Attack,Cut_Angle,Opening_Percent,Status,CL,CD,L_over_D
-24.0,90.0,0.0,FAIL,-1.5067371129989624,0.9237660765647888,-1.6310808019732326
-18.0,90.0,0.0,FAIL,-1.2221646308898926,0.5558589696884155,-2.198695528067078
-12.0,90.0,0.0,FAIL,-0.7597548365592957,0.28013837337493896,-2.712069851074758
-6.0,90.0,0.0,PASS,-0.7841032147407532,0.16496330499649048,-4.753197777878144
0.0,90.0,0.0,PASS,-0.3553100824356079,0.111407071352005,-3.189295599674817
6.0,90.0,0.0,PASS,0.779515266418457,0.16079644858837128,4.847838825184297
12.0,90.0,0.0,PASS,0.9210916757583618,0.28105416893959045,3.277274552566201
18.0,90.0,0.0,FAIL,1.158394455909729,0.5968573093414307,1.9408231042489796
24.0,90.0,0.0,FAIL,1.6385794878005981,0.8789880871772766,1.8641657511680532
-24.0,90.0,2.0,FAIL,-0.5623424649238586,0.5973899960517883,-0.9413322429910739
-18.0,90.0,2.0,FAIL,-1.2706856727600098,0.5544995069503784,-2.29159026623575
-12.0,90.0,2.0,FAIL,-0.9205663800239563,0.32338935136795044,-2.8466193340316313
-6.0,90.0,2.0,PASS,-0.5129245519638062,0.18610163033008575,-2.7561529206060116
0.0,90.0,2.0,PASS,-0.0942535325884819,0.12626007199287415,-0.7465030797210489
6.0,90.0,2.0,PASS,0.6614894866943359,0.15866421163082123,4.169115895104846
12.0,90.0,2.0,PASS,0.9482792615890503,0.36358433961868286,2.608141105812146
18.0,90.0,2.0,FAIL,1.1903672218322754,0.6275327801704407,1.896900463923122
24.0,90.0,2.0,FAIL,0.9773659706115723,0.875877857208252,1.1158701667910644
-24.0,90.0,4.0,FAIL,-1.29979407787323,0.8898569941520691,-1.4606774868492027
-18.0,90.0,4.0,FAIL,-1.386576771736145,0.7086203694343567,-1.956727228774068
-12.0,90.0,4.0,PASS,-0.8062573075294495,0.3694722652435303,-2.1821862785776927
-6.0,90.0,4.0,PASS,-0.42777642607688904,0.16102446615695953,-2.6565927295788176
0.0,90.0,4.0,PASS,-0.13370506465435028,0.14470022916793823,-0.9240141872835113
6.0,90.0,4.0,PASS,0.2080407589673996,0.1361718624830246,1.5277808144346583
12.0,90.0,4.0,PASS,1.0095430612564087,0.41757750511169434,2.4176184035257706
18.0,90.0,4.0,PASS,0.8629185557365417,0.6150323152542114,1.4030458795971907
24.0,90.0,4.0,FAIL,1.4982376098632812,0.9750553369522095,1.5365667496846023
-24.0,90.0,6.0,FAIL,-1.0527864694595337,1.0437790155410767,-1.0086296560712018
-18.0,90.0,6.0,PASS,-1.061532974243164,0.6330244541168213,-1.6769225380466326
-12.0,90.0,6.0,PASS,-0.8440259099006653,0.431670218706131,-1.9552562890034684
-6.0,90.0,6.0,PASS,-0.393243670463562,0.21999108791351318,-1.7875436418504416
0.0,90.0,6.0,PASS,-0.006423158571124077,0.15308895707130432,-0.04195703396249776
6.0,90.0,6.0,PASS,0.43588241934776306,0.25253790616989136,1.7260078930666718
12.0,90.0,6.0,PASS,0.7817150950431824,0.4442251920700073,1.759727068608006
18.0,90.0,6.0,PASS,1.2750377655029297,0.7305371761322021,1.7453427521013545
24.0,90.0,6.0,FAIL,0.8071422576904297,0.7527251839637756,1.0722934144970402
-24.0,90.0,8.0,PASS,-0.9353368878364563,0.9105817675590515,-1.0271860486991349
-18.0,90.0,8.0,PASS,-0.7620707154273987,0.6513409614562988,-1.1700027489803881
-12.0,90.0,8.0,PASS,-0.827974259853363,0.44851619005203247,-1.8460298161306274
