Angle_of_Attack,Cut_Angle,Opening_Percent,Status,CL,CD,L_over_D
10.0,90.0,1.0,PASS,0.6506091952323914,0.22044914960861206,2.951289203825419
10.0,90.0,2.0,PASS,0.6730468273162842,0.2706688940525055,2.4866057463763225
10.0,90.0,3.0,PASS,0.7005765438079834,0.2904210686683655,2.412278651202053
10.0,90.0,4.0,PASS,0.811630368232727,0.35828688740730286,2.2653086025726092
10.0,90.0,5.0,PASS,0.8235588073730469,0.3726143538951874,2.210217611758203
10.0,90.0,6.0,PASS,0.6144278645515442,0.336715966463089,1.8247660513565167
10.0,90.0,7.000000000000001,PASS,0.7347694039344788,0.3571701943874359,2.0571968643538234
10.0,90.0,8.0,PASS,0.6346901059150696,0.3732014298439026,1.7006636501380468
10.0,90.0,9.0,PASS,0.6112954020500183,0.408295601606369,1.4971883107360975
10.0,90.0,10.0,PASS,0.5795071721076965,0.3994143307209015,1.4508922878699573
10.0,90.0,11.0,PASS,0.5640550851821899,0.3736054003238678,1.5097615952371854
10.0,90.0,12.0,PASS,0.5255488157272339,0.39019933342933655,1.3468726640518687
10.0,90.0,13.0,PASS,0.5780184268951416,0.4139426052570343,1.3963733608339874
10.0,90.0,14.000000000000002,PASS,0.4477897584438324,0.4315546154975891,1.0376201351189904
10.0,90.0,15.0,PASS,0.5910385847091675,0.4280409514904022,1.380799156368617
10.0,90.0,16.0,PASS,0.4958408772945404,0.4524816572666168,1.0958253651426468
10.0,95.0,1.0,PASS,0.6780024766921997,0.25437623262405396,2.665353086246185
10.0,95.0,2.0,PASS,0.8665592670440674,0.25498485565185547,3.398473469448818
10.0,95.0,3.0,PASS,0.7914074659347534,0.26702171564102173,2.963831851783563
10.0,95.0,4.0,PASS,0.8514299392700195,0.3488742411136627,2.4405067469358532
10.0,95.0,5.0,PASS,0.7446191906929016,0.3347025215625763,2.2247193932588494
10.0,95.0,6.0,PASS,0.506977915763855,0.31511974334716797,1.608842119439392
10.0,95.0,7.000000000000001,PASS,0.703656017780304,0.36502805352211,1.9276765470237565
10.0,95.0,8.0,PASS,0.631567120552063,0.34040167927742004,1.8553584162472636
10.0,95.0,9.0,PASS,0.7611322402954102,0.41466575860977173,1.8355319302158406
10.0,95.0,10.0,PASS,0.6848564147949219,0.4031502604484558,1.6987621787298415
10.0,95.0,11.0,PASS,0.5941460132598877,0.38284626603126526,1.5519180046315681
10.0,95.0,12.0,PASS,0.6066879630088806,0.4051401913166046,1.4974766167663989
10.0,95.0,13.0,PASS,0.521414041519165,0.42991915345191956,1.2128188226381915
10.0,95.0,14.000000000000002,PASS,0.3954618275165558,0.3901267945766449,1.0136751256619025
10.0,95.0,15.0,PASS,0.4785049557685852,0.38480862975120544,1.2434881101236173
10.0,95.0,16.0,PASS,0.480228453874588,0.44177427887916565,1.0870448480907156
10.0,100.0,1.0,PASS,0.7341722846031189,0.2673772871494293,2.745828908768947
10.0,100.0,2.0,PASS,0.9377546906471252,0.28713271021842957,3.2659277653658827
10.0,100.0,3.0,PASS,0.8145838975906372,0.32467156648635864,2.5089474462028774
10.0,100.0,4.0,PASS,0.738149106502533,0.2975766658782959,2.480534232493969
10.0,100.0,5.0,PASS,0.6237632036209106,0.3182573616504669,1.959933308018723
10.0,100.0,6.0,PASS,0.6607502102851868,0.3550737202167511,1.8608817624741099
10.0,100.0,7.000000000000001,PASS,0.7792571783065796,0.36027151346206665,2.1629719508440357
10.0,100.0,8.0,PASS,0.8493770360946655,0.3962443768978119,2.143568680379565
10.0,100.0,9.0,PASS,0.6395419836044312,0.3843509554862976,1.6639531513464165
10.0,100.0,10.0,PASS,0.5698798298835754,0.38315945863723755,1.4873176611910772
10.0,100.0,11.0,PASS,0.6047388911247253,0.40317079424858093,1.4999570895303111
10.0,100.0,12.0,PASS,0.5336118936538696,0.40031662583351135,1.3329745986513055
10.0,100.0,13.0,PASS,0.68387770652771,0.41808903217315674,1.6357226664689772
10.0,100.0,14.000000000000002,PASS,0.34723585844039917,0.38584432005882263,0.8999377220000607
10.0,100.0,15.0,PASS,0.6210507750511169,0.4693445563316345,1.3232299526497293
10.0,100.0,16.0,PASS,0.5184881091117859,0.4488845765590668,1.1550588640987987
10.0,105.0,1.0,PASS,0.9070444703102112,0.2290346473455429,3.960293697144257
10.0,105.0,2.0,PASS,0.850152850151062,0.2863228917121887,2.9692101985531574
10.0,105.0,3.0,PASS,0.757682740688324,0.2512141168117523,3.0160834522531816
10.0,105.0,4.0,PASS,0.7303119897842407,0.3004736006259918,2.430536287589808
10.0,105.0,5.0,PASS,0.6806279420852661,0.29834213852882385,2.2813671090565983
10.0,105.0,6.0,PASS,0.6499723792076111,0.33293959498405457,1.9522231329642248
10.0,105.0,7.000000000000001,PASS,0.7791447043418884,0.3239220380783081,2.4053463881748307
10.0,105.0,8.0,PASS,0.5997301340103149,0.3396759629249573,1.7655948594243331
10.0,105.0,9.0,PASS,0.7326116561889648,0.3804716169834137,1.9255356338996041
10.0,105.0,10.0,PASS,0.6987515091896057,0.39345723390579224,1.7759274680330617
10.0,105.0,11.0,PASS,0.6616524457931519,0.38442477583885193,1.7211493310995953
10.0,105.0,12.0,PASS,0.5725056529045105,0.38585081696510315,1.4837487125400817
10.0,105.0,13.0,PASS,0.5377721786499023,0.41591259837150574,1.292993241261588
10.0,105.0,14.000000000000002,PASS,0.5836344957351685,0.42224186658859253,1.382227917024219
10.0,105.0,15.0,PASS,0.5115015506744385,0.4310365617275238,1.1866778739706538
10.0,105.0,16.0,PASS,0.2341466248035431,0.40682291984558105,0.5755492460759556
10.0,110.0,1.0,PASS,0.7906893491744995,0.2298031449317932,3.440724666362509
10.0,110.0,2.0,PASS,0.7591233253479004,0.24476785957813263,3.101401167033451
10.0,110.0,3.0,PASS,0.7541300058364868,0.26977667212486267,2.7953862722698553
10.0,110.0,4.0,PASS,0.7538081407546997,0.2747361660003662,2.7437528583466326
10.0,110.0,5.0,PASS,0.6895478963851929,0.2609458863735199,2.6424938364353783
10.0,110.0,6.0,PASS,0.6791678667068481,0.30629226565361023,2.217384971368907
10.0,110.0,7.000000000000001,PASS,0.6807504892349243,0.33188140392303467,2.051185999540952
10.0,110.0,8.0,PASS,0.7797770500183105,0.3576747477054596,2.1801288881049175
10.0,110.0,9.0,PASS,0.6216504573822021,0.35623297095298767,1.7450671556851536
10.0,110.0,10.0,PASS,0.7292803525924683,0.3996152877807617,1.8249560887484577
10.0,110.0,11.0,PASS,0.603671669960022,0.3706666827201843,1.6286105498608645
10.0,110.0,12.0,PASS,0.6990575790405273,0.39883124828338623,1.7527653162818821
10.0,110.0,13.0,PASS,0.4529786705970764,0.39541953802108765,1.1455647155526218
10.0,110.0,14.000000000000002,PASS,0.580212414264679,0.4082910120487213,1.4210756473753634
10.0,110.0,15.0,PASS,0.3002142310142517,0.4020802080631256,0.74665259566101
10.0,110.0,16.0,PASS,-0.24097204208374023,0.3484436571598053,-0.6915667343407093
10.0,115.0,1.0,PASS,0.8478007912635803,0.2522211968898773,3.361338387565181
10.0,115.0,2.0,PASS,0.7498378157615662,0.2645576298236847,2.834308034363999
10.0,115.0,3.0,PASS,0.583375871181488,0.20312047004699707,2.8720683397715123
10.0,115.0,4.0,PASS,0.6067320704460144,0.26866215467453003,2.258345881209202
10.0,115.0,5.0,PASS,0.6764881610870361,0.271071195602417,2.4956106442207475
10.0,115.0,6.0,PASS,0.656926691532135,0.2908623516559601,2.2585483744873445
10.0,115.0,7.000000000000001,PASS,0.8184447884559631,0.32124096155166626,2.5477597393018945
10.0,115.0,8.0,PASS,0.7314523458480835,0.32672420144081116,2.2387455310089486
10.0,115.0,9.0,PASS,0.6928466558456421,0.33782199025154114,2.0509223077211485
10.0,115.0,10.0,PASS,0.8048341870307922,0.3896745443344116,2.0654009832885007
10.0,115.0,11.0,PASS,0.4828583598136902,0.350237637758255,1.3786592523416177
10.0,115.0,12.0,PASS,0.6600338220596313,0.4145987033843994,1.591982359500228
10.0,115.0,13.0,PASS,0.6281329989433289,0.4021691083908081,1.5618628727021475
10.0,115.0,14.000000000000002,PASS,0.41520166397094727,0.3898790180683136,1.0649500094365085
10.0,115.0,15.0,PASS,0.01250991690903902,0.35922056436538696,0.034825169130112375
10.0,115.0,16.0,PASS,-0.14229309558868408,0.3611208200454712,-0.39403182450340857
10.0,120.0,1.0,PASS,0.8372158408164978,0.27577438950538635,3.0358723386826516
10.0,120.0,2.0,PASS,0.8299283385276794,0.26796069741249084,3.097201740933343
10.0,120.0,3.0,PASS,0.4899754226207733,0.22658754885196686,2.1624110640822627
10.0,120.0,4.0,PASS,0.5204893946647644,0.2720012664794922,1.9135550411270135
10.0,120.0,5.0,PASS,0.6189626455307007,0.2356787919998169,2.6262975988572683
10.0,120.0,6.0,PASS,0.7283173203468323,0.2647242248058319,2.7512303450167184
10.0,120.0,7.000000000000001,PASS,0.7210404276847839,0.30351191759109497,2.375657711919577
10.0,120.0,8.0,PASS,0.8951739072799683,0.38838326930999756,2.3048724752493484
10.0,120.0,9.0,PASS,0.7075260281562805,0.3293030858039856,2.148555718598484
10.0,120.0,10.0,PASS,0.7655568718910217,0.3740374445915222,2.0467385898411026
