Angle_of_Attack,Cut_Angle,Opening_Percent,Status,CL,CD,L_over_D
10.0,90.0,1.0,PASS,0.3282715380191803,0.23567892611026764,1.3928760769454251
10.0,90.0,2.0,PASS,0.7851547598838806,0.26816222071647644,2.927909672682835
10.0,90.0,3.0,PASS,0.6959168314933777,0.27671384811401367,2.514933156531584
10.0,90.0,4.0,PASS,0.2850051820278168,0.31277626752853394,0.9112110208355765
10.0,90.0,5.0,PASS,0.595579981803894,0.36170005798339844,1.6466129010994806
10.0,90.0,6.0,PASS,0.62445467710495,0.2977002263069153,2.0975955740831913
10.0,90.0,7.000000000000001,PASS,0.5008413791656494,0.3628178834915161,1.3804208721628815
10.0,90.0,8.0,PASS,0.6273192167282104,0.36707380414009094,1.7089729903166797
10.0,90.0,9.0,PASS,0.49866506457328796,0.3882027268409729,1.2845480726815346
10.0,90.0,10.0,PASS,0.5077415108680725,0.352094441652298,1.442060568992111
10.0,90.0,11.0,PASS,0.58168625831604,0.4082190692424774,1.4249365160610004
10.0,90.0,12.0,PASS,0.6530798673629761,0.4183262288570404,1.5611736064155826
10.0,90.0,13.0,PASS,0.5681911110877991,0.4101477265357971,1.385332830896987
10.0,90.0,14.000000000000002,PASS,0.6097650527954102,0.4275211691856384,1.4262803733366423
10.0,90.0,15.0,PASS,0.4848141074180603,0.4501764178276062,1.0769424790343383
10.0,90.0,16.0,PASS,0.37642595171928406,0.3740610182285309,1.0063223200908584
10.0,95.0,1.0,PASS,0.42323681712150574,0.20602700114250183,2.0542783944555274
10.0,95.0,2.0,PASS,0.8977869153022766,0.2543776333332062,3.5293469144210348
10.0,95.0,3.0,PASS,0.8351127505302429,0.27392327785491943,3.0487104165442687
10.0,95.0,4.0,PASS,0.7706034779548645,0.32607176899909973,2.363294069646956
10.0,95.0,5.0,PASS,0.832741916179657,0.3690280616283417,2.256581552376183
10.0,95.0,6.0,PASS,0.7313247323036194,0.35027751326560974,2.0878437941549155
10.0,95.0,7.000000000000001,PASS,0.6247447729110718,0.3628934919834137,1.7215651057738621
10.0,95.0,8.0,PASS,0.6137877702713013,0.3526524007320404,1.7404894139305238
10.0,95.0,9.0,PASS,0.7224259972572327,0.3715796172618866,1.9442024365617236
10.0,95.0,10.0,PASS,0.6151798963546753,0.433170884847641,1.4201783127022773
10.0,95.0,11.0,PASS,0.5490012168884277,0.3386642634868622,1.6210780884760378
10.0,95.0,12.0,PASS,0.580101490020752,0.37676486372947693,1.5396910536680881
