Angle_of_Attack,Cut_Angle,Opening_Percent,Status,CL,CD,L_over_D
10.0,90.0,1.0,PASS,0.3899780511856079,0.2572740912437439,1.5158077103696346
10.0,90.0,3.0,PASS,0.4628538191318512,0.29952648282051086,1.5452851272894392
10.0,90.0,5.0,PASS,0.502321720123291,0.3557055592536926,1.412184058009142
10.0,90.0,7.000000000000001,PASS,0.4792979061603546,0.3890164792537689,1.232076098883441
10.0,90.0,9.0,PASS,0.2480289489030838,0.37055474519729614,0.6693449540661653
10.0,90.0,11.0,PASS,0.35740968585014343,0.41585448384284973,0.8594585359459719
10.0,90.0,13.0,PASS,-0.25593841075897217,0.3232514262199402,-0.7917626652166161
10.0,90.0,15.0,PASS,0.20707261562347412,0.44094687700271606,0.46960898562435816
10.0,100.0,1.0,PASS,0.33734971284866333,0.24811801314353943,1.3596341054589303
10.0,100.0,3.0,PASS,0.4223567843437195,0.28466156125068665,1.4837155479934006
10.0,100.0,5.0,PASS,0.47213345766067505,0.32719963788986206,1.4429522621281103
10.0,100.0,7.000000000000001,PASS,0.4779052436351776,0.382220983505249,1.2503375383853423
10.0,100.0,9.0,PASS,0.3510129153728485,0.3715279996395111,0.944781862237656
10.0,100.0,11.0,PASS,0.27029937505722046,0.39898571372032166,0.6774662995745585
10.0,100.0,13.0,PASS,-0.018139047548174858,0.35701847076416016,-0.050807028301225285
10.0,100.0,15.0,PASS,0.31242871284484863,0.4445958435535431,0.7027252219626803
10.0,110.0,1.0,PASS,0.5176360011100769,0.2746184766292572,1.8849278004294674
10.0,110.0,3.0,PASS,0.35872602462768555,0.2698424458503723,1.329390650522784
10.0,110.0,5.0,PASS,0.4984297752380371,0.31030288338661194,1.6062685908626717
10.0,110.0,7.000000000000001,PASS,0.4978109896183014,0.342583566904068,1.4531081981457126
10.0,110.0,9.0,PASS,0.5365452766418457,0.3874644935131073,1.3847598570311197
10.0,110.0,11.0,PASS,0.43340003490448,0.3970717787742615,1.0914904006584447
10.0,110.0,13.0,PASS,0.564152181148529,0.4598979651927948,1.2266898830744546
10.0,110.0,15.0,PASS,0.3211742639541626,0.41672658920288086,0.7707073949097134
10.0,120.0,1.0,PASS,0.4654962122440338,0.26639026403427124,1.7474220160844447
10.0,120.0,3.0,PASS,0.43915966153144836,0.27782630920410156,1.580698612703469
10.0,120.0,5.0,PASS,0.3580297529697418,0.2875152826309204,1.245254685919913
10.0,120.0,7.000000000000001,PASS,0.26003366708755493,0.30301186442375183,0.8581633183970204
10.0,120.0,9.0,PASS,0.30633649230003357,0.3200581967830658,0.9571274705008329
10.0,120.0,11.0,PASS,0.4980907440185547,0.3928064703941345,1.2680309046813305
10.0,120.0,13.0,PASS,0.37441742420196533,0.3914682865142822,0.9564438221442114
10.0,120.0,15.0,PASS,0.2513095736503601,0.4013408124446869,0.626174976124552
10.0,130.0,1.0,PASS,0.4208153188228607,0.26154235005378723,1.6089758264247391
10.0,130.0,3.0,PASS,0.4631088078022003,0.27280718088150024,1.6975682469420104
10.0,130.0,5.0,PASS,0.48812612891197205,0.2914636731147766,1.6747408817556175
10.0,130.0,7.000000000000001,PASS,0.5637431144714355,0.3136945366859436,1.7971084878530383
10.0,130.0,9.0,PASS,0.425922155380249,0.3235376179218292,1.3164532709243015
10.0,130.0,11.0,PASS,0.30762553215026855,0.3589826226234436,0.8569371127274695
10.0,130.0,13.0,PASS,0.27852651476860046,0.38558435440063477,0.7223491088002038
10.0,130.0,15.0,PASS,0.19638028740882874,0.3979910910129547,0.49342885266352987
10.0,140.0,1.0,PASS,0.44668304920196533,0.2672278881072998,1.6715435367382354
10.0,140.0,3.0,PASS,0.5056847929954529,0.28301459550857544,1.786779908247278
10.0,140.0,5.0,PASS,0.34500569105148315,0.2770337462425232,1.245356191189269
10.0,140.0,7.000000000000001,PASS,0.5228058099746704,0.3049389123916626,1.7144607943743835
10.0,140.0,9.0,PASS,0.46164873242378235,0.33714330196380615,1.3692952810711405
10.0,140.0,11.0,PASS,0.519527792930603,0.37932220101356506,1.3696213708093083
10.0,140.0,13.0,PASS,0.15939797461032867,0.3447859287261963,0.46230997650983274
10.0,140.0,15.0,PASS,0.3963366150856018,0.4203079342842102,0.9429672455757185
10.0,150.0,1.0,PASS,0.39194872975349426,0.27529972791671753,1.4237163716778714
10.0,150.0,3.0,PASS,0.4455447196960449,0.2850155234336853,1.5632296596634676
10.0,150.0,5.0,PASS,0.4773552715778351,0.3032604455947876,1.5740769312713818
10.0,150.0,7.000000000000001,PASS,0.4962467551231384,0.3273487389087677,1.5159574366389807
10.0,150.0,9.0,PASS,0.386787474155426,0.3182336390018463,1.2154198260391385
10.0,150.0,11.0,PASS,0.46347346901893616,0.3567892611026764,1.2990118244774143
10.0,150.0,13.0,PASS,0.4831911623477936,0.3815340995788574,1.2664429283808358
10.0,150.0,15.0,PASS,0.3047487139701843,0.36996930837631226,0.823713500202592
